sample	total	protocol	CHR13	post.t13	BF.13	factor.13	CHR18	post.t18	BF.18	factor.18	CHR21	post.t21	BF.21	factor.21	post.13	post.18	post.21
Individual_3	2775	Protocol_5	0.0363963963963964	4.413576124205656e-7	-14.633409936235484	1.0226669400812043	0.026306306306306305	4.1145846743010036e-8	-17.006142803467217	0.9261954278709076	0.012612612612612612	2.4491299816902292e-5	-10.617168121394366	0.9627065997295005	0.9999995586423874	0.9999999588541533	0.9999755087001831
Individual_5	8834	Protocol_5	0.03407290015847861	4.7683258788402424e-14	-30.6741960274169	0.957381279323953	0.026714964908308807	2.7647608574599446e-15	-33.52182225284137	0.940583526463225	0.015734661534978493	2.7636951448551007e-4	-8.193495359357055	1.2010090985499582	0.9999999999999525	0.9999999999999973	0.9997236304855144
Individual_6	36917	Protocol_5	0.0344556708291573	1.051695608664194e-25	-57.514223597780315	0.9681363800837239	0.029444429395671372	1.9402790385462108e-27	-61.50696571380499	1.0366828229321172	0.012649998645610424	4.329556460398442e-25	-56.09916222217159	0.9655602337710872	1	1	1
Individual_7	3274	Protocol_5	0.03329260843005498	3.746978074313735e-9	-19.4023161649359	0.9354566210257299	0.02504581551618815	1.6038193869071147e-9	-20.25087793391717	0.8818159246032462	0.014355528405620037	1.2247058147494817e-4	-9.00751722996372	1.0957414108536532	0.9999999962530217	0.9999999983961807	0.9998775294185249
Individual_8	1558	Protocol_5	0.026957637997432605	1.2452728075538304e-8	-18.201326103053606	0.7574564487758128	0.02631578947368421	1.9566633951396712e-6	-13.144267928118413	0.9265293123077752	0.011553273427471117	7.32659826763028e-5	-9.52134087166794	0.8818484257562543	0.9999999875472719	0.9999980433366049	0.9999267340173237
Individual_10	1662	Protocol_5	0.031287605294825514	1.2963340623994556e-7	-15.858555192413196	0.8791199881671716	0.0246690734055355	4.5097187251094164e-7	-14.611860415354702	0.8685515454726318	0.010830324909747292	3.670180302389499e-5	-10.21264797291749	0.8266665748064045	0.9999998703665938	0.9999995490281277	0.9999632981969759
Individual_11	8095	Protocol_5	0.03891290920321186	5.421209619537393e-8	-16.730361722152583	1.0933759856634184	0.02804200123533045	1.3200054446461572e-12	-27.353385254605517	0.9873059725715714	0.011365040148239655	1.9407921495074706e-10	-22.362754715524513	0.8674807902971552	0.9999999457879035	0.9999999999986802	0.9999999998059206
Individual_12	2307246	Protocol_5	0.03393309599409859	1.0822670781905573e-43	-98.93210101126466	0.9534530580945766	0.02760477209625675	6.352271056458635e-119	-272.15881367064077	0.97191195925679	0.012940969450158327	1.4182231205988869e-213	-490.1012200431995	0.987769709513389	1	1	1
Individual_13	194621	Protocol_5	0.033336587521387726	4.488817516854378e-42	-95.2069845979561	0.9366923467352473	0.02824463958154567	3.3200955118595423e-75	-171.49388842340645	0.9944404865390783	0.01329250183690352	1.298983397479168e-72	-165.52454473896591	1.014601783020494	1	1	1
Individual_17	7022	Protocol_5	0.03545998291085161	4.465013912559609e-11	-23.832163692651438	0.9963555683870636	0.027627456565081174	4.559021526501042e-12	-26.113913092944447	0.9727106366181886	0.014098547422386785	3.7312449706962486e-6	-12.498764876441578	1.076126340117537	0.9999999999553495	0.999999999995441	0.9999962687550292
Individual_19	1396	Protocol_5	0.02650429799426934	2.4259047845376678e-8	-17.534476157865146	0.7447184889843516	0.025787965616045846	2.42247200429948e-6	-12.93071962730605	0.9079456298259575	0.01790830945558739	0.0037902551769664074	-5.57152447674323	1.36692121072931	0.9999999757409522	0.9999975775279958	0.9962097448230335
Individual_22	2398	Protocol_5	0.03461217681401168	1.7219323610426147e-7	-15.5746483528326	0.9725338895209843	0.02585487906588824	8.61368999205446e-8	-16.267327860680187	0.9103015261872889	0.012093411175979984	2.54310643008433e-5	-10.579513695842047	0.9230765353655613	0.9999998278067641	0.9999999138630998	0.9999745689356992
Individual_26	21528	Protocol_5	0.034513192121887776	1.176902793686249e-20	-45.888815623215365	0.9697526149380079	0.030146785581568192	2.884440688491892e-17	-38.08461556854067	1.0614114595008526	0.012495354886659234	4.039586860218252e-17	-37.74780415647708	0.9537564487883937	1	1	1
Individual_28	3032	Protocol_5	0.03529023746701847	7.66197170749847e-8	-16.384411313634946	0.9915860562697939	0.022427440633245383	1.458751167022463e-10	-22.648270225160875	0.7896278835762834	0.014511873350923483	1.7795095513568063e-4	-8.633824611793694	1.1076750454859783	0.999999923380283	0.9999999998541247	0.9998220490448644
Individual_29	9040	Protocol_5	0.02754424778761062	7.016393848439358e-23	-51.01120774961625	0.7739390266829602	0.027101769911504425	6.250085763864885e-15	-32.70618120903814	0.9542022010603306	0.015154867256637169	3.2561845782201906e-5	-10.33233676741818	1.1567540504177083	1	0.9999999999999938	0.9999674381542176
Individual_30	6270	Protocol_7	0.03141945773524721	1.1816731761064077e-18	-41.2796002938983	0.8828247816395728	0.025677830940988834	3.4101461022519998e-15	-33.31202125929789	0.9040679956457687	0.01419457735247209	1.0094271626556366e-5	-11.503532366381274	1.0834561971665226	1	0.9999999999999964	0.9999899057283732
Individual_41	1878	Protocol_7	0.03301384451544196	1.0029442851331641e-8	-18.417740774708154	0.9276239049387445	0.02875399361022364	1.4164723738003084e-6	-13.46733960453398	1.0123738811797418	0.014909478168264111	5.513108893503575e-4	-7.502660217514654	1.1380237760380678	0.999999989970557	0.9999985835276264	0.9994486891106495
Individual_55	2343	Protocol_7	0.03585147247119078	1.5914966845543387e-8	-17.956005843520206	1.0073556527466636	0.03243704652155356	1.3455405309114534e-5	-11.216116195434868	1.1420472274625928	0.011523687580025609	1.688994662396496e-5	-10.988775097275516	0.8795901711448427	0.999999984085033	0.9999865445946908	0.9999831100533763
Individual_57	1411	Protocol_7	0.041814316087880936	1.587959643355098e-5	-11.050459636250043	1.1748997955582035	0.022678951098511695	1.488607208862886e-7	-15.72025457845243	0.7984830926762968	0.009922041105598866	3.864257635534064e-5	-10.16111723165684	0.757338288943831	0.9999841204035665	0.9999998511392789	0.9999613574236448
Individual_59	1071	Protocol_7	0.02427637721755369	1.0668278568813777e-8	-18.355991107737072	0.6821183101465169	0.028011204481792718	1.0104310251967216e-5	-11.502538363170377	0.9862216769662595	0.013071895424836602	3.6835147447150516e-4	-7.906104562601991	0.9977631425767933	0.9999999893317214	0.9999898956897478	0.9996316485255284
Individual_62	2892	Protocol_7	0.03354080221300138	1.5538426658974152e-10	-22.585119927561454	0.9424303767181508	0.025242047026279392	1.2331310579918758e-9	-20.513709325215448	0.8887248659549685	0.012448132780082987	1.8015399964943543e-5	-10.924265596675264	0.9501520382629628	0.99999999984461585	0.9999999987668691	0.9999819846000351
Individual_68	1254	Protocol_2	0.03110047846889952	3.639427891040158e-8	-17.12885421105354	0.8738620935011	0.027910685805422646	4.477810452210854e-6	-12.316371891534207	0.982682603962792	0.011164274322169059	1.0894415139015797e-4	-9.12456622952393	0.8521565595691751	0.9999999636057211	0.9999955221895479	0.9998910558486096
Individual_70	17094	Protocol_2	0.03861003861003861	2.2961372301751103e-26	-59.03598417193395	1.084865919463795	0.02772902772902773	1.9921007089486001e-28	-63.783192889247715	0.9762867657240932	0.013747513747513748	1.180747768389039e-10	-22.85970299002454	1.0493323327292794	1	1	0.9999999998819251
Individual_71	163807	Protocol_2	0.038368323698010465	9.361820047801583e-98	-223.4166993922784	1.0780742072634	0.02929667230338142	2.7884447126272278e-126	-289.1002377275211	1.031480574402013	0.013259506614491445	1.258680404192696e-66	-151.74055226370342	1.0120832946349962	1	1	1
Individual_72	201418	Protocol_2	0.038914099037821843	5.919432111369395e-98	-223.8750985962554	1.093409417668789	0.02913840868244149	2.3667548885920216e-145	-333.01331871258236	1.0259084108148462	0.01323615565639615	1.97169123589676e-77	-176.62016049070894	1.0103009421471487	1	1	1
Individual_73	555405	Protocol_2	0.039146208622536705	1.8990926272985258e-118	-271.063664765775	1.0999312391199745	0.029553208919617217	3.283961666029479e-210	-482.35381901017837	1.040512744797676	0.013469450221009894	8.786026340183479e-127	-290.25514426672254	1.0281080550691832	1	1	1
Individual_74	796651	Protocol_2	0.038189872353138324	2.488900752104704e-139	-319.1474867781883	1.0730600765009424	0.029298902530719224	1.6277642425521004e-241	-554.4357999686284	1.0315590965000732	0.013215322644420205	6.233504347003312e-161	-368.88626130187714	1.0087107816675165	1	1	1
Individual_75	83771	Protocol_2	0.0385694333361187	7.869442272072295e-72	-163.7231395032425	1.0837249913680964	0.0299268243186783	5.471393438033076e-74	-168.69176355569593	1.0536670383105433	0.012820665862888112	4.6246047222929e-46	-104.38752337586428	0.9785870713880926	1	1	1
Individual_76	214766	Protocol_2	0.03800880958810985	3.051047718501255e-111	-254.47146027644456	1.0679725699836038	0.029376158237337382	3.143931252778827e-145	-332.7293644759732	1.0342791242156146	0.012571822355493886	5.1586123647039945e-99	-226.31525658465193	0.9595931250721094	1	1	1
Individual_77	188318	Protocol_2	0.03768094393525845	7.863126450231351e-111	-253.52476102778135	1.0587601919144258	0.029035992310878406	3.811810131934957e-142	-325.62897902859487	1.0223025235429368	0.012993978270797268	5.914875236168165e-80	-182.4293370351022	0.9918158134444615	1	1	1
Individual_78	2037	Protocol_2	0.037309769268532154	4.630912978768163e-8	-16.88792666134511	1.048330915990444	0.024545900834560628	1.8439343769798588e-8	-17.80877918833298	0.8642148715683717	0.011291114383897889	2.453191816733204e-5	-10.615510973739015	0.8618381194717073	0.9999999536908704	0.9999999815606564	0.9999754680818327
Individual_80	159950	Protocol_2	0.03811816192560175	8.679146274980994e-100	-228.09758613098646	1.0710451549493132	0.029721788058768364	1.004282519307605e-116	-267.0955974118909	1.0464480983246278	0.012660206314473272	1.116792036465202e-78	-179.4911769312073	0.9663393737069552	1	1	1
