sample	protocol	fct	total	chr	proportion	p	a	b	n	mp	sdp	N	Z	pos	keep	site_name	point_type	shapeCol
CRU001	Protocol_7	Site_345	445079	chr1	36331	0.08162820532984032	4862.818725723864	53817.74651910468	445079	0.08286932318110926	0.0012107507932312945	271150	-1.0250811795519084	TRUE	TRUE	CRU	CRU001	Important
Individual_2718	Protocol_7	Site_345	594058	chr1	48660	0.08191119385649212	4862.818725723864	53817.74651910468	594058	0.08286932318110926	0.0011929352540319895	271150	-0.8031695948114279	FALSE	TRUE	CRU	Reference	Control
Individual_2723	Protocol_7	Site_345	517151	chr1	42732	0.08262963815210644	4862.818725723864	53817.74651910468	517151	0.08286932318110928	0.0012008830385317193	271150	-0.199590652305229	FALSE	TRUE	CRU	Reference	Control
Individual_2724	Protocol_7	Site_345	1124129	chr1	93836	0.08347440551751623	4862.818725723864	53817.74651910468	1124129	0.08286932318110926	0.0011673766423256238	271150	0.5183265747047431	FALSE	TRUE	CRU	Reference	Control
Individual_2725	Protocol_7	Site_345	211976	chr1	17462	0.08237725025474582	4862.818725723864	53817.74651910468	211976	0.08286932318110926	0.0012859604086444547	271150	-0.38265013685929883	FALSE	TRUE	CRU	Reference	Control
Individual_2727	Protocol_7	Site_345	242494	chr1	20023	0.08257111516161225	4862.818725723864	53817.74651910468	242494	0.08286932318110926	0.0012682950827419429	271150	-0.23512510893940372	FALSE	TRUE	CRU	Reference	Control
Individual_2728	Protocol_7	Site_345	483899	chr1	40005	0.08267221052327035	4862.818725723864	53817.74651910468	483899	0.08286932318110926	0.0012050803796889024	271150	-0.16356805833133992	FALSE	TRUE	CRU	Reference	Control
CRU013	Protocol_7	Site_345	1569953	chr1	129301	0.08235979038862946	4862.818725723864	53817.74651910468	1569953	0.08286932318110926	0.001159124342247865	271150	-0.4395842395058938	TRUE	TRUE	CRU	CRU013	Important
Individual_2735	Protocol_7	Site_345	833443	chr1	69447	0.08332543437283653	4862.818725723864	53817.74651910468	833443	0.08286932318110926	0.0011774330315654105	271150	0.3873776083221167	FALSE	TRUE	CRU	Reference	Control
CRU024	Protocol_7	Site_345	977523	chr1	80148	0.08199090967680556	4862.818725723864	53817.74651910468	977523	0.08286932318110928	0.0011717115477135832	271150	-0.7496840890727829	TRUE	TRUE	CRU	CRU024	Important
Individual_2741	Protocol_7	Site_345	543522	chr1	45222	0.08320178392043008	4862.818725723864	53817.74651910468	543522	0.08286932318110925	0.0011979105729817564	271150	0.2775338550467044	FALSE	TRUE	CRU	Reference	Control
Individual_2742	Protocol_7	Site_345	281290	chr1	23096	0.08210743360944221	4862.818725723864	53817.74651910468	281290	0.08286932318110926	0.0012511378807528821	271150	-0.6089573206820144	FALSE	TRUE	CRU	Reference	Control
Individual_2743	Protocol_7	Site_345	9416	chr1	744	0.0790144435004248	4862.818725723864	53817.74651910468	9416	0.08286932318110926	0.003060490528731408	271150	-1.2595626892145064	FALSE	TRUE	CRU	Reference	Control
Individual_3641	Protocol_7	Site_468	1114139	chr1	92374	0.08291066015999798	4862.818725723864	53817.74651910468	1114139	0.08286932318110925	0.0011676362624094066	271150	0.03540227399536086	FALSE	TRUE	ERE	Reference	Control
Individual_3642	Protocol_7	Site_468	1467102	chr1	121404	0.08275089257597631	4862.818725723864	53817.74651910468	1467102	0.08286932318110926	0.0011605873450536615	271150	-0.10204368127714734	FALSE	TRUE	ERE	Reference	Control
Individual_3643	Protocol_7	Site_468	387527	chr1	32270	0.08327161720344647	4862.818725723864	53817.74651910468	387527	0.08286932318110926	0.0012211784810565206	271150	0.32943097882724093	FALSE	TRUE	ERE	Reference	Control
ERE004	Protocol_7	Site_468	452307	chr1	37654	0.08324876687736427	4862.818725723864	53817.74651910468	452307	0.08286932318110926	0.0012096233807663433	271150	0.3136874685859766	TRUE	TRUE	ERE	ERE004	Important
Individual_3645	Protocol_7	Site_468	548975	chr1	45309	0.08253381301516463	4862.818725723864	53817.74651910468	548975	0.08286932318110926	0.0011973306982993143	271150	-0.2802151205353609	FALSE	TRUE	ERE	Reference	Control
Individual_3646	Protocol_7	Site_468	7385	chr1	598	0.08097494922139471	4862.818725723864	53817.74651910468	7385	0.08286932318110926	0.003403878024218567	271150	-0.5565340315475736	FALSE	TRUE	ERE	Reference	Control
Individual_4987	Protocol_5	Site_613	741569	chr1	62825	0.08471902142619231	4690.4613121767725	50509.460564811714	741569	0.08497224547942907	0.0012301920766866975	271150	-0.20584106989111187	FALSE	TRUE	HKI	Reference	Control
HKI002	Protocol_5	Site_613	133789	chr1	11255	0.08412500280292101	4690.4613121767725	50509.460564811714	133789	0.08497224547942907	0.0014105564974285765	271150	-0.600644269160836	TRUE	TRUE	HKI	HKI002	Important
Individual_4989	Protocol_5	Site_613	3332	chr1	284	0.08523409363745499	4690.4613121767725	50509.460564811714	3332	0.08497224547942905	0.004974236289721685	271150	0.05264087646318575	FALSE	TRUE	HKI	Reference	Control
Individual_4990	Protocol_5	Site_613	741103	chr1	62861	0.08482086835433131	4690.4613121767725	50509.460564811714	741103	0.08497224547942905	0.0012302188715547435	271150	-0.12304893754916658	FALSE	TRUE	HKI	Reference	Control
